測站,日期,小時,PM2.5_Value,PM25_Lag_1h,PM25_Lag_2h,PM25_Lag_24h
中山站,2018/11/3,22,13,14,11,7
中山站,2018/11/3,23,19,13,14,1
中山站,2018/11/4,0,10,19,13,1
中山站,2018/11/4,1,7,10,19,2
中山站,2018/11/4,2,5,7,10,2
中山站,2018/11/4,3,6,5,7,3
中山站,2018/11/4,4,5,6,5,1
中山站,2018/11/4,5,4,5,6,5
中山站,2018/11/4,6,1,4,5,1
中山站,2018/11/4,7,2,1,4,1
中山站,2018/11/4,8,1,2,1,5
中山站,2018/11/4,9,6,1,2,8
中山站,2018/11/4,10,9,6,1,7
中山站,2018/11/4,11,11,9,6,7
中山站,2018/11/4,12,8,11,9,8
中山站,2018/11/4,13,5,8,11,21
中山站,2018/11/4,14,8,5,8,14
中山站,2018/11/4,15,11,8,5,15
中山站,2018/11/4,16,7,11,8,11
中山站,2018/11/4,17,6,7,11,15
中山站,2018/11/4,18,6,6,7,15
中山站,2018/11/4,19,14,6,6,15
中山站,2018/11/4,20,15,14,6,11
中山站,2018/11/4,21,12,15,14,14
中山站,2018/11/4,22,8,12,15,13
中山站,2018/11/4,23,1,8,12,19
中山站,2018/11/5,0,7,1,8,10
中山站,2018/11/5,1,5,7,1,7
中山站,2018/11/5,2,14,5,7,5
中山站,2018/11/5,3,6,14,5,6
中山站,2018/11/5,4,2,6,14,5
中山站,2018/11/5,5,1,2,6,4
中山站,2018/11/5,6,4,1,2,1
中山站,2018/11/5,7,10,4,1,2
中山站,2018/11/5,8,9,10,4,1
中山站,2018/11/5,9,7,9,10,6
中山站,2018/11/5,10,11,7,9,9
中山站,2018/11/5,11,12,11,7,11
中山站,2018/11/5,12,10,12,11,8
中山站,2018/11/5,13,11,10,12,5
中山站,2018/11/5,14,8,11,10,8
中山站,2018/11/5,15,7,8,11,11
中山站,2018/11/5,16,4,7,8,7
中山站,2018/11/5,17,4,4,7,6
中山站,2018/11/5,18,9,4,4,6
中山站,2018/11/5,19,9,9,4,14
中山站,2018/11/5,20,11,9,9,15
中山站,2018/11/5,21,7,11,9,12
中山站,2018/11/5,22,14,7,11,8
中山站,2018/11/5,23,10,14,7,1
中山站,2018/11/6,0,9,10,14,7
中山站,2018/11/6,1,4,9,10,5
中山站,2018/11/6,2,7,4,9,14
中山站,2018/11/6,3,10,7,4,6
中山站,2018/11/6,4,1,10,7,2
中山站,2018/11/6,5,3,1,10,1
中山站,2018/11/6,6,5,3,1,4
中山站,2018/11/6,7,7,5,3,10
中山站,2018/11/6,8,6,7,5,9
中山站,2018/11/6,9,6,6,7,7
中山站,2018/11/6,10,7,6,6,11
中山站,2018/11/6,11,2,7,6,12
中山站,2018/11/6,12,2,2,7,10
中山站,2018/11/6,13,7,2,2,11
中山站,2018/11/6,14,11,7,2,8
中山站,2018/11/6,15,11,11,7,7
中山站,2018/11/6,16,8,11,11,4
中山站,2018/11/6,17,9,8,11,4
中山站,2018/11/6,18,14,9,8,9
中山站,2018/11/6,19,14,14,9,9
中山站,2018/11/6,20,11,14,14,11
中山站,2018/11/6,21,9,11,14,7
中山站,2018/11/6,22,4,9,11,14
中山站,2018/11/6,23,2,4,9,10
中山站,2018/11/7,0,1,2,4,9
中山站,2018/11/7,1,2,1,2,4
中山站,2018/11/7,2,4,2,1,7
中山站,2018/11/7,3,2,4,2,10
中山站,2018/11/7,4,4,2,4,1
中山站,2018/11/7,5,1,4,2,3
中山站,2018/11/7,6,1,1,4,5
中山站,2018/11/7,7,1,1,1,7
中山站,2018/11/7,8,1,1,1,6
中山站,2018/11/7,9,6,1,1,6
中山站,2018/11/7,10,2,6,1,7
中山站,2018/11/7,11,15,2,6,2
中山站,2018/11/7,12,15,15,2,2
中山站,2018/11/7,16,37,15,15,7
中山站,2018/11/7,17,34,37,15,11
中山站,2018/11/7,18,30,34,37,11
中山站,2018/11/7,19,29,30,34,8
中山站,2018/11/7,20,21,29,30,9
中山站,2018/11/7,21,15,21,29,14
中山站,2018/11/7,22,7,15,21,14
中山站,2018/11/7,23,1,7,15,11
中山站,2018/11/8,0,4,1,7,9
中山站,2018/11/8,1,21,4,1,4
中山站,2018/11/8,2,46,21,4,2
中山站,2018/11/8,3,58,46,21,1
中山站,2018/11/8,4,58,58,46,2
中山站,2018/11/8,5,51,58,58,4
中山站,2018/11/8,6,51,51,58,2
中山站,2018/11/8,7,46,51,51,4
中山站,2018/11/8,8,48,46,51,1
中山站,2018/11/8,9,45,48,46,1
中山站,2018/11/8,10,53,45,48,1
中山站,2018/11/8,11,54,53,45,1
中山站,2018/11/8,12,65,54,53,6
中山站,2018/11/8,13,30,65,54,2
中山站,2018/11/8,14,21,30,65,15
中山站,2018/11/8,15,36,21,30,15
中山站,2018/11/8,16,35,36,21,37
中山站,2018/11/8,17,39,35,36,34
中山站,2018/11/8,18,37,39,35,30
中山站,2018/11/8,19,47,37,39,29
中山站,2018/11/8,20,50,47,37,21
中山站,2018/11/8,21,50,50,47,15
中山站,2018/11/8,22,44,50,50,7
中山站,2018/11/8,23,43,44,50,1
中山站,2018/11/9,0,48,43,44,4
中山站,2018/11/9,1,43,48,43,21
中山站,2018/11/9,2,35,43,48,46
中山站,2018/11/9,3,29,35,43,58
中山站,2018/11/9,4,31,29,35,58
中山站,2018/11/9,5,23,31,29,51
中山站,2018/11/9,6,16,23,31,51
中山站,2018/11/9,7,9,16,23,46
中山站,2018/11/9,8,14,9,16,48
中山站,2018/11/9,9,14,14,9,45
中山站,2018/11/9,10,10,14,14,53
中山站,2018/11/9,11,4,10,14,54
中山站,2018/11/9,12,1,4,10,65
中山站,2018/11/9,13,6,1,4,30
中山站,2018/11/9,14,6,6,1,21
中山站,2018/11/9,15,9,6,6,36
中山站,2018/11/9,16,10,9,6,35
中山站,2018/11/9,17,17,10,9,39
中山站,2018/11/9,18,13,17,10,37
中山站,2018/11/9,19,18,13,17,47
中山站,2018/11/9,20,9,18,13,50
中山站,2018/11/9,21,15,9,18,50
中山站,2018/11/9,22,14,15,9,44
中山站,2018/11/9,23,21,14,15,43
中山站,2018/11/10,0,22,21,14,48
中山站,2018/11/10,1,19,22,21,43
中山站,2018/11/10,2,20,19,22,35
中山站,2018/11/10,3,16,20,19,29
中山站,2018/11/10,4,15,16,20,31
中山站,2018/11/10,5,15,15,16,23
中山站,2018/11/10,6,19,15,15,16
中山站,2018/11/10,7,21,19,15,9
中山站,2018/11/10,8,19,21,19,14
中山站,2018/11/10,9,13,19,21,14
中山站,2018/11/10,10,13,13,19,10
中山站,2018/11/10,11,11,13,13,4
中山站,2018/11/10,12,10,11,13,1
中山站,2018/11/10,13,6,10,11,6
中山站,2018/11/10,14,7,6,10,6
中山站,2018/11/10,15,13,7,6,9
中山站,2018/11/10,16,13,13,7,10
中山站,2018/11/10,17,8,13,13,17
中山站,2018/11/10,18,2,8,13,13
中山站,2018/11/10,19,10,2,8,18
中山站,2018/11/10,20,16,10,2,9
中山站,2018/11/10,21,17,16,10,15
中山站,2018/11/10,22,10,17,16,14
中山站,2018/11/10,23,8,10,17,21
中山站,2018/11/11,0,7,8,10,22
中山站,2018/11/11,1,12,7,8,19
中山站,2018/11/11,2,11,12,7,20
中山站,2018/11/11,3,12,11,12,16
中山站,2018/11/11,4,12,12,11,15
中山站,2018/11/11,5,7,12,12,15
中山站,2018/11/11,6,7,7,12,19
中山站,2018/11/11,7,1,7,7,21
中山站,2018/11/11,8,12,1,7,19
中山站,2018/11/11,9,8,12,1,13
中山站,2018/11/11,10,28,8,12,13
中山站,2018/11/11,11,25,28,8,11
中山站,2018/11/11,12,42,25,28,10
中山站,2018/11/11,13,32,42,25,6
中山站,2018/11/11,14,41,32,42,7
中山站,2018/11/11,15,36,41,32,13
中山站,2018/11/11,16,32,36,41,13
中山站,2018/11/11,17,26,32,36,8
中山站,2018/11/11,18,21,26,32,2
中山站,2018/11/11,19,21,21,26,10
中山站,2018/11/11,20,22,21,21,16
中山站,2018/11/11,21,26,22,21,17
中山站,2018/11/11,22,31,26,22,10
中山站,2018/11/11,23,29,31,26,8
中山站,2018/11/12,0,26,29,31,7
中山站,2018/11/12,1,28,26,29,12
中山站,2018/11/12,2,19,28,26,11
中山站,2018/11/12,3,21,19,28,12
中山站,2018/11/12,4,20,21,19,12
中山站,2018/11/12,5,25,20,21,7
中山站,2018/11/12,6,29,25,20,7
中山站,2018/11/12,7,30,29,25,1
中山站,2018/11/12,8,35,30,29,12
中山站,2018/11/12,9,36,35,30,8
中山站,2018/11/12,10,31,36,35,28
中山站,2018/11/12,11,29,31,36,25
中山站,2018/11/12,12,28,29,31,42
中山站,2018/11/12,13,30,28,29,32
中山站,2018/11/12,14,31,30,28,41
中山站,2018/11/12,15,32,31,30,36
中山站,2018/11/12,16,25,32,31,32
中山站,2018/11/12,17,23,25,32,26
中山站,2018/11/12,18,14,23,25,21
中山站,2018/11/12,19,25,14,23,21
中山站,2018/11/12,20,18,25,14,22
中山站,2018/11/12,21,15,18,25,26
中山站,2018/11/12,22,12,15,18,31
中山站,2018/11/12,23,13,12,15,29
中山站,2018/11/13,0,12,13,12,26
中山站,2018/11/13,1,6,12,13,28
中山站,2018/11/13,2,4,6,12,19
中山站,2018/11/13,3,1,4,6,21
中山站,2018/11/13,4,5,1,4,20
中山站,2018/11/13,5,4,5,1,25
中山站,2018/11/13,6,11,4,5,29
中山站,2018/11/13,7,8,11,4,30
中山站,2018/11/13,8,14,8,11,35
中山站,2018/11/13,9,7,14,8,36
中山站,2018/11/13,10,6,7,14,31
中山站,2018/11/13,11,5,6,7,29
中山站,2018/11/13,12,8,5,6,28
中山站,2018/11/13,13,13,8,5,30
中山站,2018/11/13,14,10,13,8,31
中山站,2018/11/13,15,14,10,13,32
中山站,2018/11/13,16,14,14,10,25
中山站,2018/11/13,17,14,14,14,23
中山站,2018/11/13,18,14,14,14,14
中山站,2018/11/13,19,12,14,14,25
中山站,2018/11/13,20,13,12,14,18
中山站,2018/11/13,21,10,13,12,15
中山站,2018/11/13,22,13,10,13,12
中山站,2018/11/13,23,12,13,10,13
中山站,2018/11/14,0,14,12,13,12
中山站,2018/11/14,1,8,14,12,6
中山站,2018/11/14,2,12,8,14,4
中山站,2018/11/14,3,12,12,8,1
中山站,2018/11/14,4,15,12,12,5
中山站,2018/11/14,5,7,15,12,4
中山站,2018/11/14,6,3,7,15,11
中山站,2018/11/14,7,2,3,7,8
中山站,2018/11/14,8,3,2,3,14
中山站,2018/11/14,9,7,3,2,7
中山站,2018/11/14,10,10,7,3,6
中山站,2018/11/14,11,14,10,7,5
中山站,2018/11/14,12,14,14,10,8
中山站,2018/11/14,13,13,14,14,13
中山站,2018/11/14,14,12,13,14,10
中山站,2018/11/14,15,13,12,13,14
中山站,2018/11/14,16,11,13,12,14
中山站,2018/11/14,17,13,11,13,14
中山站,2018/11/14,18,10,13,11,14
中山站,2018/11/14,19,13,10,13,12
中山站,2018/11/14,20,14,13,10,13
中山站,2018/11/14,21,13,14,13,10
中山站,2018/11/14,22,14,13,14,13
中山站,2018/11/14,23,9,14,13,12
中山站,2018/11/15,0,16,9,14,14
中山站,2018/11/15,1,9,16,9,8
中山站,2018/11/15,2,11,9,16,12
中山站,2018/11/15,3,6,11,9,12
中山站,2018/11/15,4,8,6,11,15
中山站,2018/11/15,5,8,8,6,7
中山站,2018/11/15,6,7,8,8,3
中山站,2018/11/15,7,8,7,8,2
中山站,2018/11/15,8,12,8,7,3
中山站,2018/11/15,9,16,12,8,7
中山站,2018/11/15,10,14,16,12,10
中山站,2018/11/15,13,3,14,16,14
中山站,2018/11/15,14,9,3,14,14
中山站,2018/11/15,15,12,9,3,13
中山站,2018/11/15,16,17,12,9,12
中山站,2018/11/15,17,15,17,12,13
中山站,2018/11/15,18,17,15,17,11
中山站,2018/11/15,19,11,17,15,13
中山站,2018/11/15,20,9,11,17,10
中山站,2018/11/15,21,7,9,11,13
中山站,2018/11/15,22,9,7,9,14
中山站,2018/11/15,23,8,9,7,13
中山站,2018/11/16,0,11,8,9,14
中山站,2018/11/16,1,9,11,8,9
中山站,2018/11/16,2,9,9,11,16
中山站,2018/11/16,3,10,9,9,9
中山站,2018/11/16,4,8,10,9,11
中山站,2018/11/16,5,8,8,10,6
中山站,2018/11/16,6,12,8,8,8
中山站,2018/11/16,7,12,12,8,8
中山站,2018/11/16,8,16,12,12,7
中山站,2018/11/16,9,8,16,12,8
中山站,2018/11/16,10,14,8,16,12
中山站,2018/11/16,11,9,14,8,16
中山站,2018/11/16,12,7,9,14,14
中山站,2018/11/16,13,16,7,9,3
中山站,2018/11/16,14,20,16,7,9
中山站,2018/11/16,15,27,20,16,12
中山站,2018/11/16,16,21,27,20,17
中山站,2018/11/16,17,20,21,27,15
中山站,2018/11/16,18,27,20,21,17
中山站,2018/11/16,19,27,27,20,11
中山站,2018/11/16,20,21,27,27,9
中山站,2018/11/16,21,14,21,27,7
中山站,2018/11/16,22,14,14,21,9
中山站,2018/11/16,23,13,14,14,8
中山站,2018/11/17,0,7,13,14,11
中山站,2018/11/17,1,7,7,13,9
中山站,2018/11/17,2,6,7,7,9
中山站,2018/11/17,3,9,6,7,10
中山站,2018/11/17,4,7,9,6,8
中山站,2018/11/17,5,10,7,9,8
中山站,2018/11/17,6,9,10,7,12
中山站,2018/11/17,7,11,9,10,12
中山站,2018/11/17,8,5,11,9,16
中山站,2018/11/17,9,1,5,11,8
中山站,2018/11/17,10,1,1,5,14
中山站,2018/11/17,11,10,1,1,9
中山站,2018/11/17,12,9,10,1,7
中山站,2018/11/17,13,9,9,10,16
中山站,2018/11/17,14,3,9,9,20
中山站,2018/11/17,15,6,3,9,27
中山站,2018/11/17,16,9,6,3,21
中山站,2018/11/17,17,10,9,6,20
中山站,2018/11/17,18,15,10,9,27
中山站,2018/11/17,19,12,15,10,27
中山站,2018/11/17,20,10,12,15,21
中山站,2018/11/17,21,6,10,12,14
中山站,2018/11/17,22,8,6,10,14
中山站,2018/11/17,23,5,8,6,13
中山站,2018/11/18,0,1,5,8,7
中山站,2018/11/18,1,1,1,5,7
中山站,2018/11/18,2,1,1,1,6
中山站,2018/11/18,3,6,1,1,9
中山站,2018/11/18,4,1,6,1,7
中山站,2018/11/18,5,7,1,6,10
中山站,2018/11/18,6,4,7,1,9
中山站,2018/11/18,7,5,4,7,11
中山站,2018/11/18,8,8,5,4,5
中山站,2018/11/18,9,10,8,5,1
中山站,2018/11/18,10,13,10,8,1
中山站,2018/11/18,11,11,13,10,10
中山站,2018/11/18,12,15,11,13,9
中山站,2018/11/18,13,17,15,11,9
中山站,2018/11/18,14,12,17,15,3
中山站,2018/11/18,15,15,12,17,6
中山站,2018/11/18,16,15,15,12,9
中山站,2018/11/18,17,21,15,15,10
中山站,2018/11/18,18,13,21,15,15
中山站,2018/11/18,19,14,13,21,12
中山站,2018/11/18,20,10,14,13,10
中山站,2018/11/18,21,20,10,14,6
中山站,2018/11/18,22,19,20,10,8
中山站,2018/11/18,23,21,19,20,5
中山站,2018/11/19,0,15,21,19,1
中山站,2018/11/19,1,14,15,21,1
中山站,2018/11/19,2,6,14,15,1
中山站,2018/11/19,3,1,6,14,6
中山站,2018/11/19,4,1,1,6,1
中山站,2018/11/19,5,1,1,1,7
中山站,2018/11/19,6,1,1,1,4
中山站,2018/11/19,7,4,1,1,5
中山站,2018/11/19,8,2,4,1,8
中山站,2018/11/19,9,7,2,4,10
中山站,2018/11/19,10,7,7,2,13
中山站,2018/11/19,12,5,7,7,11
中山站,2018/11/19,13,2,5,7,15
中山站,2018/11/19,14,3,2,5,17
中山站,2018/11/19,15,6,3,2,12
中山站,2018/11/19,16,9,6,3,15
中山站,2018/11/19,17,3,9,6,15
中山站,2018/11/19,18,8,3,9,21
中山站,2018/11/19,19,10,8,3,13
中山站,2018/11/19,20,10,10,8,14
中山站,2018/11/19,21,11,10,10,10
中山站,2018/11/19,22,1,11,10,20
中山站,2018/11/19,23,4,1,11,19
中山站,2018/11/20,0,4,4,1,21
中山站,2018/11/20,1,12,4,4,15
中山站,2018/11/20,2,9,12,4,14
中山站,2018/11/20,3,11,9,12,6
中山站,2018/11/20,4,12,11,9,1
中山站,2018/11/20,5,16,12,11,1
中山站,2018/11/20,6,11,16,12,1
中山站,2018/11/20,7,7,11,16,1
中山站,2018/11/20,8,7,7,11,4
中山站,2018/11/20,9,7,7,7,2
中山站,2018/11/20,10,16,7,7,7
中山站,2018/11/20,11,12,16,7,7
中山站,2018/11/20,12,12,12,16,5
中山站,2018/11/20,15,14,12,12,2
中山站,2018/11/20,16,11,14,12,3
中山站,2018/11/20,17,6,11,14,6
中山站,2018/11/20,18,7,6,11,9
中山站,2018/11/20,19,8,7,6,3
中山站,2018/11/20,20,10,8,7,8
中山站,2018/11/20,21,9,10,8,10
中山站,2018/11/20,22,3,9,10,10
中山站,2018/11/20,23,7,3,9,11
中山站,2018/11/21,0,6,7,3,1
中山站,2018/11/21,1,12,6,7,4
中山站,2018/11/21,2,7,12,6,4
中山站,2018/11/21,3,6,7,12,12
中山站,2018/11/21,4,4,6,7,9
中山站,2018/11/21,5,1,4,6,11
中山站,2018/11/21,6,3,1,4,12
中山站,2018/11/21,7,3,3,1,16
中山站,2018/11/21,8,9,3,3,11
中山站,2018/11/21,9,9,9,3,7
中山站,2018/11/21,10,12,9,9,7
中山站,2018/11/21,11,26,12,9,7
中山站,2018/11/21,12,20,26,12,16
中山站,2018/11/21,13,22,20,26,12
中山站,2018/11/21,14,14,22,20,12
中山站,2018/11/21,15,23,14,22,14
中山站,2018/11/21,16,28,23,14,11
中山站,2018/11/21,17,27,28,23,6
中山站,2018/11/21,18,26,27,28,7
中山站,2018/11/21,19,24,26,27,8
中山站,2018/11/21,20,23,24,26,10
中山站,2018/11/21,21,21,23,24,9
中山站,2018/11/21,22,15,21,23,3
中山站,2018/11/21,23,9,15,21,7
中山站,2018/11/22,0,7,9,15,6
中山站,2018/11/22,1,7,7,9,12
中山站,2018/11/22,2,7,7,7,7
中山站,2018/11/22,3,3,7,7,6
中山站,2018/11/22,4,1,3,7,4
中山站,2018/11/22,5,1,1,3,1
中山站,2018/11/22,6,7,1,1,3
中山站,2018/11/22,7,11,7,1,3
中山站,2018/11/22,8,7,11,7,9
中山站,2018/11/22,9,6,7,11,9
中山站,2018/11/22,10,7,6,7,12
中山站,2018/11/22,11,13,7,6,26
中山站,2018/11/22,12,11,13,7,20
中山站,2018/11/22,13,12,11,13,22
中山站,2018/11/22,14,10,12,11,14
中山站,2018/11/22,15,15,10,12,23
中山站,2018/11/22,16,18,15,10,28
中山站,2018/11/22,17,15,18,15,27
中山站,2018/11/22,18,10,15,18,26
中山站,2018/11/22,19,1,10,15,24
中山站,2018/11/22,20,1,1,10,23
中山站,2018/11/22,21,9,1,1,21
中山站,2018/11/22,22,20,9,1,15
中山站,2018/11/22,23,25,20,9,9
中山站,2018/11/23,0,18,25,20,7
中山站,2018/11/23,1,13,18,25,7
中山站,2018/11/23,2,12,13,18,7
中山站,2018/11/23,3,7,12,13,3
中山站,2018/11/23,4,4,7,12,1
中山站,2018/11/23,5,2,4,7,1
中山站,2018/11/23,6,14,2,4,7
中山站,2018/11/23,7,16,14,2,11
中山站,2018/11/23,8,14,16,14,7
中山站,2018/11/23,9,9,14,16,6
中山站,2018/11/23,10,8,9,14,7
中山站,2018/11/23,11,15,8,9,13
中山站,2018/11/23,12,14,15,8,11
中山站,2018/11/23,13,9,14,15,12
中山站,2018/11/23,14,4,9,14,10
中山站,2018/11/23,15,7,4,9,15
中山站,2018/11/23,16,19,7,4,18
中山站,2018/11/23,17,22,19,7,15
中山站,2018/11/23,18,18,22,19,10
中山站,2018/11/23,19,18,18,22,1
中山站,2018/11/23,20,15,18,18,1
中山站,2018/11/23,21,16,15,18,9
中山站,2018/11/23,22,12,16,15,20
中山站,2018/11/23,23,11,12,16,25
中山站,2018/11/24,0,10,11,12,18
中山站,2018/11/24,1,6,10,11,13
中山站,2018/11/24,2,7,6,10,12
中山站,2018/11/24,3,2,7,6,7
中山站,2018/11/24,4,1,2,7,4
中山站,2018/11/24,5,1,1,2,2
中山站,2018/11/24,6,2,1,1,14
中山站,2018/11/24,7,2,2,1,16
中山站,2018/11/24,8,10,2,2,14
中山站,2018/11/24,9,7,10,2,9
中山站,2018/11/24,10,7,7,10,8
中山站,2018/11/24,11,1,7,7,15
中山站,2018/11/24,12,7,1,7,14
中山站,2018/11/24,13,14,7,1,9
中山站,2018/11/24,14,15,14,7,4
中山站,2018/11/24,15,12,15,14,7
中山站,2018/11/24,16,16,12,15,19
中山站,2018/11/24,17,9,16,12,22
中山站,2018/11/24,18,15,9,16,18
中山站,2018/11/24,19,12,15,9,18
中山站,2018/11/24,20,20,12,15,15
中山站,2018/11/24,21,18,20,12,16
中山站,2018/11/24,22,20,18,20,12
中山站,2018/11/24,23,17,20,18,11
中山站,2018/11/25,0,14,17,20,10
中山站,2018/11/25,1,11,14,17,6
中山站,2018/11/25,2,4,11,14,7
中山站,2018/11/25,3,12,4,11,2
中山站,2018/11/25,4,13,12,4,1
中山站,2018/11/25,5,16,13,12,1
中山站,2018/11/25,6,7,16,13,2
中山站,2018/11/25,7,4,7,16,2
中山站,2018/11/25,8,1,4,7,10
中山站,2018/11/25,9,4,1,4,7
中山站,2018/11/25,10,5,4,1,7
中山站,2018/11/25,11,7,5,4,1
中山站,2018/11/25,12,8,7,5,7
中山站,2018/11/25,13,10,8,7,14
中山站,2018/11/25,14,17,10,8,15
中山站,2018/11/25,15,10,17,10,12
中山站,2018/11/25,16,1,10,17,16
中山站,2018/11/25,17,2,1,10,9
中山站,2018/11/25,18,7,2,1,15
中山站,2018/11/25,19,17,7,2,12
中山站,2018/11/25,20,17,17,7,20
中山站,2018/11/25,21,36,17,17,18
中山站,2018/11/25,22,37,36,17,20
中山站,2018/11/25,23,34,37,36,17
中山站,2018/11/26,0,15,34,37,14
中山站,2018/11/26,1,17,15,34,11
中山站,2018/11/26,2,18,17,15,4
中山站,2018/11/26,3,18,18,17,12
中山站,2018/11/26,4,12,18,18,13
中山站,2018/11/26,5,7,12,18,16
中山站,2018/11/26,6,12,7,12,7
中山站,2018/11/26,7,11,12,7,4
中山站,2018/11/26,8,18,11,12,1
中山站,2018/11/26,9,13,18,11,4
中山站,2018/11/26,10,7,13,18,5
中山站,2018/11/26,11,10,7,13,7
中山站,2018/11/26,12,5,10,7,8
中山站,2018/11/26,13,10,5,10,10
中山站,2018/11/26,14,7,10,5,17
中山站,2018/11/26,15,17,7,10,10
中山站,2018/11/26,16,24,17,7,1
中山站,2018/11/26,17,23,24,17,2
中山站,2018/11/26,18,19,23,24,7
中山站,2018/11/26,19,10,19,23,17
中山站,2018/11/26,20,7,10,19,17
中山站,2018/11/26,21,6,7,10,36
中山站,2018/11/26,22,12,6,7,37
中山站,2018/11/26,23,14,12,6,34
中山站,2018/11/27,0,18,14,12,15
中山站,2018/11/27,1,16,18,14,17
中山站,2018/11/27,2,14,16,18,18
中山站,2018/11/27,3,12,14,16,18
中山站,2018/11/27,4,8,12,14,12
中山站,2018/11/27,5,10,8,12,7
中山站,2018/11/27,6,9,10,8,12
中山站,2018/11/27,7,13,9,10,11
中山站,2018/11/27,8,12,13,9,18
中山站,2018/11/27,9,11,12,13,13
中山站,2018/11/27,13,12,11,12,7
中山站,2018/11/27,14,3,12,11,10
中山站,2018/11/27,15,11,3,12,5
中山站,2018/11/27,16,13,11,3,10
中山站,2018/11/27,17,13,13,11,7
中山站,2018/11/27,18,9,13,13,17
中山站,2018/11/27,19,8,9,13,24
中山站,2018/11/27,20,11,8,9,23
中山站,2018/11/27,21,7,11,8,19
中山站,2018/11/27,22,8,7,11,10
中山站,2018/11/27,23,8,8,7,7
中山站,2018/11/28,0,11,8,8,6
中山站,2018/11/28,1,6,11,8,12
中山站,2018/11/28,2,3,6,11,14
中山站,2018/11/28,3,7,3,6,18
中山站,2018/11/28,4,7,7,3,16
中山站,2018/11/28,5,6,7,7,14
中山站,2018/11/28,6,7,6,7,12
中山站,2018/11/28,7,7,7,6,8
中山站,2018/11/28,8,8,7,7,10
中山站,2018/11/28,9,13,8,7,9
中山站,2018/11/28,10,11,13,8,13
中山站,2018/11/28,11,11,11,13,12
中山站,2018/11/28,12,15,11,11,11
中山站,2018/11/28,13,16,15,11,12
中山站,2018/11/28,14,9,16,15,3
中山站,2018/11/28,15,14,9,16,11
中山站,2018/11/28,16,14,14,9,13
中山站,2018/11/28,17,17,14,14,13
中山站,2018/11/28,18,19,17,14,9
中山站,2018/11/28,19,16,19,17,8
中山站,2018/11/28,20,16,16,19,11
中山站,2018/11/28,21,14,16,16,7
中山站,2018/11/28,22,19,14,16,8
中山站,2018/11/28,23,26,19,14,8
中山站,2018/11/29,0,20,26,19,11
中山站,2018/11/29,1,18,20,26,6
中山站,2018/11/29,2,9,18,20,3
中山站,2018/11/29,3,13,9,18,7
中山站,2018/11/29,4,15,13,9,7
中山站,2018/11/29,5,15,15,13,6
中山站,2018/11/29,6,14,15,15,7
中山站,2018/11/29,7,14,14,15,7
中山站,2018/11/29,8,16,14,14,8
中山站,2018/11/29,9,20,16,14,13
中山站,2018/11/29,10,19,20,16,11
中山站,2018/11/29,11,14,19,20,11
中山站,2018/11/29,12,19,14,19,15
中山站,2018/11/29,13,15,19,14,16
中山站,2018/11/29,14,20,15,19,9
中山站,2018/11/29,15,14,20,15,14
中山站,2018/11/29,16,14,14,20,14
中山站,2018/11/29,17,19,14,14,17
中山站,2018/11/29,18,21,19,14,19
中山站,2018/11/29,19,25,21,19,16
中山站,2018/11/29,20,28,25,21,16
中山站,2018/11/29,21,28,28,25,14
中山站,2018/11/29,22,26,28,28,19
中山站,2018/11/29,23,15,26,28,26
